"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Origanum vulgare,Dried plants/Essential oil,2004,H.J. Damien Dorman and Stanley G. Deans/2004,AROMADB-CIMAP,"Dorman, H. D., & Deans, S. G. (2004). Chemical composition, antimicrobial and in vitro antioxidant properties of Monarda citriodora var. citriodora, Myristica fragrans, Origanum vulgare ssp. hirtum, Pelargonium sp. and Thymus zygis oils. Journal of Essential Oil Research, 16(2), 145-150."
Pelargonium sp.,Dried plants/Essential oil,2004,H.J. Damien Dorman and Stanley G. Deans/2004,AROMADB-CIMAP,"Dorman, H. D., & Deans, S. G. (2004). Chemical composition, antimicrobial and in vitro antioxidant properties of Monarda citriodora var. citriodora, Myristica fragrans, Origanum vulgare ssp. hirtum, Pelargonium sp. and Thymus zygis oils. Journal of Essential Oil Research, 16(2), 145-150."
Thymus zygi,Dried plants/Essential oil,2004,H.J. Damien Dorman and Stanley G. Deans/2004,AROMADB-CIMAP,"Dorman, H. D., & Deans, S. G. (2004). Chemical composition, antimicrobial and in vitro antioxidant properties of Monarda citriodora var. citriodora, Myristica fragrans, Origanum vulgare ssp. hirtum, Pelargonium sp. and Thymus zygis oils. Journal of Essential Oil Research, 16(2), 145-150."
Lavandula angustifolia,Leaf_EO,2003,Hajhashemi_2003,AROMADB-CIMAP,"Hajhashemi, V., Ghannadi, A., & Sharif, B. (2003). Anti-inflammatory and analgesic properties of the leaf extracts and essential oil of Lavandula angustifolia Mill. Journal of ethnopharmacology, 89(1), 67-71."
Backhousia citriodora,EO,2002,Hayes_2002,AROMADB-CIMAP,"Hayes, A. J., & Markovic, B. (2002). Toxicity of Australian essential oil Backhousia citriodora (Lemon myrtle). Part 1. Antimicrobial activity and in vitro cytotoxicity. Food and Chemical Toxicology, 40(4), 535-543."
Melaleuca alternifolia,EO,2002,Hayes_2002,AROMADB-CIMAP,"Hayes, A. J., & Markovic, B. (2002). Toxicity of Australian essential oil Backhousia citriodora (Lemon myrtle). Part 1. Antimicrobial activity and in vitro cytotoxicity. Food and Chemical Toxicology, 40(4), 535-543."
Cistus ladaniferus L.,Essential Oil,1997,"J. P. Mariotti, F. Tomi1, J. Casanova, J. Costa and A. F. Bernardini/1997",AROMADB-CIMAP,"Mariotti, J. P., Tomi, F., Casanova, J., Costa, J., & Bernardini, A. F. (1997). Composition of the essential oil of Cistus ladaniferus L. cultivated in Corsica (France). Flavour and fragrance journal, 12(3), 147-151."
Helioptropium floridum,Flowers/Essential Oil,2013,Javier ECHEVERRÍA & Hermann M. NIEMEYER/2013,AROMADB-CIMAP,"Echeverría, J., & Niemeyer, H. M. (2014). Floral scents of four Heliotropium (Boraginaceae) species endemic to Chile: a comparative analysis. Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas, 13(2), 171-177."
Heliotropium myosotifolium,Flowers/Essential Oil,2013,Javier ECHEVERRÍA & Hermann M. NIEMEYER/2013,AROMADB-CIMAP,"Echeverría, J., & Niemeyer, H. M. (2014). Floral scents of four Heliotropium (Boraginaceae) species endemic to Chile: a comparative analysis. Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas, 13(2), 171-177."
Heliotropium pycnophyllum,Flowers/Essential Oil,2013,Javier ECHEVERRÍA & Hermann M. NIEMEYER/2013,AROMADB-CIMAP,"Echeverría, J., & Niemeyer, H. M. (2014). Floral scents of four Heliotropium (Boraginaceae) species endemic to Chile: a comparative analysis. Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas, 13(2), 171-177."
Heliotropium stenophyllum,Flowers/Essential Oil,2013,Javier ECHEVERRÍA & Hermann M. NIEMEYER/2013,AROMADB-CIMAP,"Echeverría, J., & Niemeyer, H. M. (2014). Floral scents of four Heliotropium (Boraginaceae) species endemic to Chile: a comparative analysis. Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas, 13(2), 171-177."
Geranium phaeum L.,Aerial parts/Essential Oil,2011,"Jean-Claude Chalchat ,  S. D. Petrovic, Z. A. Maksimovic & M. S. Gorunovic/2011",AROMADB-CIMAP,"Jean-Claude Chalchat , S. D. Petrovic , Z. A. Maksimovic & M. S. Gorunovic (2002) A Comparative Study on Essential Oils of Geranium macrorrhizum L. and Geranium phaeum L., Geraniaceae from Serbia, Journal of Essential Oil Research, 14:5, 333-335"
" Geranium 
macrorrhizum L",Aerial parts/Essential Oil,2011,"Jean-Claude Chalchat ,  S. D. Petrovic, Z. A. Maksimovic & M. S. Gorunovic/2011",AROMADB-CIMAP,"Jean-Claude Chalchat , S. D. Petrovic , Z. A. Maksimovic & M. S. Gorunovic (2002) A Comparative Study on Essential Oils of Geranium macrorrhizum L. and Geranium phaeum L., Geraniaceae from Serbia, Journal of Essential Oil Research, 14:5, 333-335"
Callisternon citrinus,Leaves&Flowers/Essential Oil,1998,"Jimmy Chane-Ming , Robert R. Vera & Daniel J. Fraisse/1998",AROMADB-CIMAP,"Chane-Ming, J., Vera, R. R., & Fraisse, D. J. (1998). Chemical composition of essential oil of Callistemon citrinus (Curtis) Skeel from Reunion. Journal of Essential Oil Research, 10(4), 429-431."
Zingiber zerumbet Smith,Rhizomes/Essential Oil,2003,"Jimmy Chane-Ming a , Robert Vera b & Jean-Claude Chalchat/2003",AROMADB-CIMAP,"Chane-Ming, J., Vera, R., & Chalchat, J. C. (2003). Chemical composition of the essential oil from rhizomes, leaves and flowers of Zingiber zerumbet Smith from Reunion Island. Journal of Essential Oil Research, 15(3), 202-205."
Zingiber zerumbet Smith,Leaves/Essential Oil,2003,"Jimmy Chane-Ming a , Robert Vera b & Jean-Claude Chalchat/2003",AROMADB-CIMAP,"Chane-Ming, J., Vera, R., & Chalchat, J. C. (2003). Chemical composition of the essential oil from rhizomes, leaves and flowers of Zingiber zerumbet Smith from Reunion Island. Journal of Essential Oil Research, 15(3), 202-205."
Zingiber zerumbet Smith,Flowers/Essential Oil,2003,"Jimmy Chane-Ming a , Robert Vera b & Jean-Claude Chalchat/2003",AROMADB-CIMAP,"Chane-Ming, J., Vera, R., & Chalchat, J. C. (2003). Chemical composition of the essential oil from rhizomes, leaves and flowers of Zingiber zerumbet Smith from Reunion Island. Journal of Essential Oil Research, 15(3), 202-205."
