"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Mentha canadensis,EO,2009,Jirovetz_2009,AROMADB-CIMAP,"Jirovetz, L., Buchbauer, G., Bail, S., Denkova, Z., Slavchev, A., Stoyanova, A., ... & Geissler, M. (2009). Antimicrobial activities of essential oils of mint and peppermint as well as some of their main compounds. Journal of Essential oil research, 21(4), 363-366."
Fritillaria eduardii,Plant/Essential oil,2006,"JOHANNES PETRUS FRANCISCUS GERARDUS HELSPER, MARK BUCKING,SOREL MURESAN,JAN BLAAS,AND WILLEM ANNE WIETSMA/2006",AROMADB-CIMAP,"Helsper, J. P. F. G., Bücking, M., Muresan, S., Blaas, J., & Wietsma, W. A. (2006). Identification of the volatile component (s) causing the characteristic foxy odor in various cultivars of Fritillaria imperialis L.(Liliaceae). Journal of agricultural and food chemistry, 54(14), 5087-5091."
Fritillaria raddeana,Plant/Essential oil,2006,"JOHANNES PETRUS FRANCISCUS GERARDUS HELSPER, MARK BUCKING,SOREL MURESAN,JAN BLAAS,AND WILLEM ANNE WIETSMA/2006",AROMADB-CIMAP,"Helsper, J. P. F. G., Bücking, M., Muresan, S., Blaas, J., & Wietsma, W. A. (2006). Identification of the volatile component (s) causing the characteristic foxy odor in various cultivars of Fritillaria imperialis L.(Liliaceae). Journal of agricultural and food chemistry, 54(14), 5087-5091."
Aloysia citriodora,Whole Plant/Essential Oil,2009,"Jorge O. Werdin González, María M. Gutiérrez, Ana P. Murray and Adriana A. Ferrero/2009",AROMADB-CIMAP,"Werdin Gonzalez, J. O., Gutiérrez, M. M., Murray, A. P., & Ferrero, A. A. (2010). Biological activity of essential oils from Aloysia polystachya and Aloysia citriodora (Verbenaceae) against the soybean pest Nezara viridula (Hemiptera: Pentatomidae). Natural Product Communications, 5(2), 1934578X1000500227."
Aloysia polystachya,Whole Plant/Essential Oil,2009,"Jorge O. Werdin González, María M. Gutiérrez, Ana P. Murray and Adriana A. Ferrero/2009 ",AROMADB-CIMAP,"Werdin Gonzalez, J. O., Gutiérrez, M. M., Murray, A. P., & Ferrero, A. A. (2010). Biological activity of essential oils from Aloysia polystachya and Aloysia citriodora (Verbenaceae) against the soybean pest Nezara viridula (Hemiptera: Pentatomidae). Natural Product Communications, 5(2), 1934578X1000500227."
Anacardium occidentale L. (Red cashew),Leaves/Essential Oil,2000,"JoseH Guilherme S. Maia, Eloisa Helena A. Andrade, and Maria das Graias B. Zoghbi/2000",AROMADB-CIMAP,"Maia, J. G. S., Andrade, E. H. A., & Maria das Graças, B. Z. (2000). Volatile constituents of the leaves, fruits and flowers of cashew (Anacardium occidentale L.). Journal of food composition and analysis, 13(3), 227-232."
Anacardium occidentale L. (Red cashew),Flowers/Essential Oil,2000,"JoseH Guilherme S. Maia, Eloisa Helena A. Andrade, and Maria das Graias B. Zoghbi/2000",AROMADB-CIMAP,"Maia, J. G. S., Andrade, E. H. A., & Maria das Graças, B. Z. (2000). Volatile constituents of the leaves, fruits and flowers of cashew (Anacardium occidentale L.). Journal of food composition and analysis, 13(3), 227-232."
Anacardium occidentale L. (Red cashew),Fruits/Essential Oil,2000,"JoseH Guilherme S. Maia, Eloisa Helena A. Andrade, and Maria das Graias B. Zoghbi/2000",AROMADB-CIMAP,"Maia, J. G. S., Andrade, E. H. A., & Maria das Graças, B. Z. (2000). Volatile constituents of the leaves, fruits and flowers of cashew (Anacardium occidentale L.). Journal of food composition and analysis, 13(3), 227-232."
Cassytha filiformis,Essential Oil,2011,"Joseph J. Brophy , Robert J. Goldsack & Paul I. Forster/2011",AROMADB-CIMAP,"Brophy, J. J., Goldsack, R. J., & Forster, P. I. (2009). The essential oils of some Australian Cassytha species (Lauraceae). Journal of Essential Oil Research, 21(6), 543-546."
Mentha citrata,Surficial Parts/Essential Oil,2000,Josip Mastelic Mladen Milos and Danica Kustrak/2000,AROMADB-CIMAP,"Masteli?, J., Miloš, M., & Kuštrak, D. (2000). Free and glycosidically bound volatiles of Mentha citrata Ehrh. Croatica chemica acta, 73(3), 781-794."
Galium aparine L,Flowering herbal parts/Essential Oil,2004,"K. H.C. Baser , T. Özek , N. K?r?mer , D. Deliorman b & F. Ergun/2004",AROMADB-CIMAP,"Baser, K. H. C., Özek, T. E. M. E. L., K?r?mer, N., Deliorman, D. ?. D. E. M., & Ergun, F. (2004). Composition of the essential oils of Galium aparine L. and Galium odoratum (L.) Scop. from Turkey. Journal of Essential Oil Research, 16(4), 305-307."
Galium odoratum (L.),Flowering herbal parts/Essential Oil,2004,"K. H.C. Baser , T. Özek , N. K?r?mer , D. Deliorman b & F. Ergun/2004",AROMADB-CIMAP,"Baser, K. H. C., Özek, T. E. M. E. L., K?r?mer, N., Deliorman, D. ?. D. E. M., & Ergun, F. (2004). Composition of the essential oils of Galium aparine L. and Galium odoratum (L.) Scop. from Turkey. Journal of Essential Oil Research, 16(4), 305-307."
"Anthriscus
cerefolium (L.) Hoffm. (Chervil)",         Aerial parts/ Essential Oil. ,1998,"K.H.C. Baser, N. Ermin and B. Demircakmak/1998",AROMADB-CIMAP,"Baser, K. H. C., Ermin, N., & Demirçakmak, B. (1998). The essential oil of Anthriscus cerefolium (L.) Hoffm.(Chervil) growing wild in Turkey. Journal of essential oil research, 10(4), 463-464."
Eucalyptus alba,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Eucalyptus camaldulensis,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Eucalyptus citriodoria,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Eucalyptus deglupta,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Eucalyptus urophylla,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Eucalyptus globulus,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Eucalyptus propinqua,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Eucalyptus saligna,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Eucalyptus tereticornis,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Eucalyptus robusta,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Aframomum stipulatum,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Cymbopogon citratus,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Monodora myristica,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Ocimum americanum,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Ocimum gratissimum,Whole plant/Essential oil,2002,"Kanyanga Cimanga, Sandra Apers, Tess de Bruyne, Sabine Van Miert, Nina Hermans, Jozef Totte, Luc Pieters and Arnold J. Vlietinck/2002",AROMADB-CIMAP,"Cimanga, K., Apers, S., de Bruyne, T., Van Miert, S., Hermans, N., Totté, J., ... & Tona, L. (2002). Chemical composition and antifungal activity of essential oils of some aromatic medicinal plants growing in the Democratic Republic of Congo. Journal of Essential Oil Research, 14(5), 382-387."
Algerian Juniperus phoenicea L.,Leaves/Essential Oil,2010,"Khadidja Mazari, Nassima Bendimerad, Chahrazed Bekhechi and Xavier Fernandez/2010",AROMADB-CIMAP,"Mazari, K., Bendimerad, N., Bekhechi, C., & Fernandez, X. (2010). Chemical composition and antimicrobial activity of essential oils isolated from Algerian Juniperus phoenicea L. and Cupressus sempervirens L. J Med Plants Res, 4(10), 959-964."
Cupressus sempervirens L.,Leaves/Essential Oil,2010,"Khadidja Mazari, Nassima Bendimerad, Chahrazed Bekhechi and Xavier Fernandez/2010",AROMADB-CIMAP,"Mazari, K., Bendimerad, N., Bekhechi, C., & Fernandez, X. (2010). Chemical composition and antimicrobial activity of essential oils isolated from Algerian Juniperus phoenicea L. and Cupressus sempervirens L. J Med Plants Res, 4(10), 959-964."
Ribes nigrum,Leaf_EO,1990,Kilic_1990,AROMADB-CIMAP,"Kiliç, C. S., Koyuncu, M., Özek, T., & Ba?er, K. H. C. (2008). Essential oil of the leaves of Ribes nigrum L. from Turkey. Journal of Essential Oil Research, 20(6), 512-514."
Ceiba pentandra,Seed_EO,2014,Kiran_2014,AROMADB-CIMAP,"Ravi Kiran, C., & Raghava Rao, T. (2014). Lipid profiling by GC-MS and anti-inflammatory activities of Ceiba pentandra seed oil. Journal of Biologically Active Products from Nature, 4(1), 62-70."
Origanum vulgare subsp. hirtum,Leaves/Essential Oil,1988,"Konstantia Adam, Afroditi Sivropoulou, Stella Kokkini, Thomas Lanaras, and Minas Arsenakis/1988",AROMADB-CIMAP,"Adam, K., Sivropoulou, A., Kokkini, S., Lanaras, T., & Arsenakis, M. (1998). Antifungal activities of Origanum vulgare subsp. hirtum, Mentha spicata, Lavandula angustifolia, and Salvia fruticosa essential oils against human pathogenic fungi. Journal of agricultural and food chemistry, 46(5), 1739-1745."
Mentha spicata,Leaves/Essential Oil,1988,"Konstantia Adam, Afroditi Sivropoulou, Stella Kokkini, Thomas Lanaras, and Minas Arsenakis/1988",AROMADB-CIMAP,"Adam, K., Sivropoulou, A., Kokkini, S., Lanaras, T., & Arsenakis, M. (1998). Antifungal activities of Origanum vulgare subsp. hirtum, Mentha spicata, Lavandula angustifolia, and Salvia fruticosa essential oils against human pathogenic fungi. Journal of agricultural and food chemistry, 46(5), 1739-1745."
Lavandula angustifolia,Leaves/Essential Oil,1988,"Konstantia Adam, Afroditi Sivropoulou, Stella Kokkini, Thomas Lanaras, and Minas Arsenakis/1988",AROMADB-CIMAP,"Adam, K., Sivropoulou, A., Kokkini, S., Lanaras, T., & Arsenakis, M. (1998). Antifungal activities of Origanum vulgare subsp. hirtum, Mentha spicata, Lavandula angustifolia, and Salvia fruticosa essential oils against human pathogenic fungi. Journal of agricultural and food chemistry, 46(5), 1739-1745."
Salvia fruticosa,Leaves/Essential Oil,1988,"Konstantia Adam, Afroditi Sivropoulou, Stella Kokkini, Thomas Lanaras, and Minas Arsenakis/1988",AROMADB-CIMAP,"Adam, K., Sivropoulou, A., Kokkini, S., Lanaras, T., & Arsenakis, M. (1998). Antifungal activities of Origanum vulgare subsp. hirtum, Mentha spicata, Lavandula angustifolia, and Salvia fruticosa essential oils against human pathogenic fungi. Journal of agricultural and food chemistry, 46(5), 1739-1745."
Ocimum tenuiflorum,Whole herb_EO,2005,Kothari_2005,AROMADB-CIMAP,"S. K. Kothari , A. K. Bhattacharya , S. Ramesh , S. N. Garg & S. P.S. Khanuja (2005) Volatile Constituents in Oil from Different Plant Parts of Methyl Eugenol-Rich Ocimum tenuiflorum L.f. (syn. O. sanctum L.) Grown in South India, Journal of Essential Oil Research, 17:6, 656-658, DOI: 10.1080/10412905.2005.9699025"
Ocimum tenuiflorum,Leaf_EO,2005,Kothari_2005,AROMADB-CIMAP,"S. K. Kothari , A. K. Bhattacharya , S. Ramesh , S. N. Garg & S. P.S. Khanuja (2005) Volatile Constituents in Oil from Different Plant Parts of Methyl Eugenol-Rich Ocimum tenuiflorum L.f. (syn. O. sanctum L.) Grown in South India, Journal of Essential Oil Research, 17:6, 656-658, DOI: 10.1080/10412905.2005.9699025"
Ocimum tenuiflorum,Stem_EO,2005,Kothari_2005,AROMADB-CIMAP,"S. K. Kothari , A. K. Bhattacharya , S. Ramesh , S. N. Garg & S. P.S. Khanuja (2005) Volatile Constituents in Oil from Different Plant Parts of Methyl Eugenol-Rich Ocimum tenuiflorum L.f. (syn. O. sanctum L.) Grown in South India, Journal of Essential Oil Research, 17:6, 656-658, DOI: 10.1080/10412905.2005.9699025"
Ocimum tenuiflorum,Inflorescence_EO,2005,Kothari_2005,AROMADB-CIMAP,"S. K. Kothari , A. K. Bhattacharya , S. Ramesh , S. N. Garg & S. P.S. Khanuja (2005) Volatile Constituents in Oil from Different Plant Parts of Methyl Eugenol-Rich Ocimum tenuiflorum L.f. (syn. O. sanctum L.) Grown in South India, Journal of Essential Oil Research, 17:6, 656-658, DOI: 10.1080/10412905.2005.9699025"
Ocimum gratissimum,Whole herb_EO,2005,Kothari_2005,AROMADB-CIMAP,"Sushil K. Kothari , Arun K. Bhattacharya , Kamla Singh , Srinivas I. Ramesh , Eranki V.S. Prakasa Rao & S. N. Garg (2005) Pre-Flowering Harvesting of Ocimum gratissimum for Higher Essential Oil and Eugenol Yields Under Semi-Arid Tropics, Journal of Essential Oil Research, 17:2, 212-216, DOI: 10.1080/10412905.2005.9698879"
Ocimum gratissimum,Leaf_EO,2005,Kothari_2005,AROMADB-CIMAP,"Sushil K. Kothari , Arun K. Bhattacharya , Kamla Singh , Srinivas I. Ramesh , Eranki V.S. Prakasa Rao & S. N. Garg (2005) Pre-Flowering Harvesting of Ocimum gratissimum for Higher Essential Oil and Eugenol Yields Under Semi-Arid Tropics, Journal of Essential Oil Research, 17:2, 212-216, DOI: 10.1080/10412905.2005.9698879"
Ocimum gratissimum,Inflorescence_EO,2005,Kothari_2005,AROMADB-CIMAP,"Sushil K. Kothari , Arun K. Bhattacharya , Kamla Singh , Srinivas I. Ramesh , Eranki V.S. Prakasa Rao & S. N. Garg (2005) Pre-Flowering Harvesting of Ocimum gratissimum for Higher Essential Oil and Eugenol Yields Under Semi-Arid Tropics, Journal of Essential Oil Research, 17:2, 212-216, DOI: 10.1080/10412905.2005.9698879"
Abies sachalinensis,Cones_EO,2005,Kurose_2005,AROMADB-CIMAP,"Kohsuke Kurose & Mitsuyoshi Yatagai (2005) Compounds of the Essential Oil from Abies sachalinensis (Fr. Schm.) Mast. Cones, Journal of Essential Oil Research, 17:2, 147-149, DOI: 10.1080/10412905.2005.9698860"
Oenanthe crocata L.,Seed/Essential Oil,2004,"L. Bonsignore , D. Deidda, L. Casu , G. Loy, & F. Genco/2004",AROMADB-CIMAP,"L. Bonsignore, L. Casu, G. Loy, D. Deidda & F. Genco (2004): Analysis of the Essential Oil of Oenanthe crocata L. and Its Biological Activity, Journal of Essential Oil Research, 16:3, 266-269"
